y,A,Z,N,A^2,A^3,A^4,A^1/2,A^1/3,A^2/3,1/A,1/A^2,1/A^3,1/A^4,A^-1/2,A^-1/3,A^-2/3,Z^2,Z^3,Z^4,Z^1/2,Z^1/3,Z^2/3,1/Z,1/Z^2,1/Z^3,1/Z^4,Z^-1/2,Z^-1/3,Z^-2/3,N^2,N^3,N^4,N^1/2,N^1/3,N^2/3,1/N,1/N^2,1/N^3,1/N^4,N^-1/2,N^-1/3,N^-2/3,Parity
5.8117636,13,8,5,169,2197,28561,3.605551275,2.351334688,5.528774814,0.076923077,0.00591716,0.000455166,3.50128E-05,0.277350098,0.42529037,0.180871899,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,0
4.9938973,14,4,10,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,1
6.1016451,14,5,9,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,-1
7.5203198,14,6,8,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,1
7.4756148,14,7,7,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,49,343,2401,2.645751311,1.912931183,3.65930571,0.142857143,0.020408163,0.002915452,0.000416493,0.377964473,0.522757959,0.273275883,-1
7.0522783,14,8,6,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,64,512,4096,2.828427125,2,4,0.125,0.015625,0.001953125,0.000244141,0.353553391,0.5,0.25,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,1
5.2852091,14,9,5,196,2744,38416,3.741657387,2.410142264,5.808785734,0.071428571,0.005102041,0.000364431,2.60308E-05,0.267261242,0.414913267,0.172153019,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,-1
4.5409708,15,4,11,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,16,64,256,2,1.587401052,2.5198421,0.25,0.0625,0.015625,0.00390625,0.5,0.629960525,0.396850263,121,1331,14641,3.31662479,2.223980091,4.946087443,0.090909091,0.008264463,0.000751315,6.83013E-05,0.301511345,0.449644313,0.202180008,0
5.8800438,15,5,10,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,25,125,625,2.236067977,1.709975947,2.924017738,0.2,0.04,0.008,0.0016,0.447213595,0.584803548,0.341995189,100,1000,10000,3.16227766,2.15443469,4.641588834,0.1,0.01,0.001,0.0001,0.316227766,0.464158883,0.215443469,0
7.1001696,15,6,9,225,3375,50625,3.872983346,2.466212074,6.082201996,0.066666667,0.004444444,0.000296296,1.97531E-05,0.25819889,0.405480133,0.164414138,36,216,1296,2.449489743,1.817120593,3.301927249,0.166666667,0.027777778,0.00462963,0.000771605,0.40824829,0.550321208,0.302853432,81,729,6561,3,2.080083823,4.326748711,0.111111111,0.012345679,0.001371742,0.000152416,0.333333333,0.480749857,0.231120425,0
